Gen1:1 [1]起初[2]神[3]创造[4]诸天与地，
Gen2:7 耶和华神用[1]地上的[2]尘土[3]塑造[4]人，将生命之[5]气吹在他鼻孔里，人就成了活的[6]魂。
Gen2:8 耶和华神在东方的[1]伊甸栽植了一个园子，把所塑造的人安放在那里。
Gen2:9 耶和华神使各样的树从地里长出来，可以[1]悦人的眼目，也好作食物；园子当中有[2]生命树，还有[3]善恶知识树。
Gen2:10 有一道[1]河[2]从伊甸流出来滋润那园子，从那里分为[3]四[4]道。
Gen2:11 第一道名叫比逊，就是环绕哈腓拉全地的，在那里有金子。
Gen2:12 并且那地的[1]金子是好的；在那里又有[1]珍珠和[1]红玛瑙。
Gen2:13 第二道河名叫基训，就是环绕古实全地的。
Gen2:14 第三道河名叫希底结，流在亚述的东边。第四道河就是[1]伯拉河。
Gen2:15 耶和华神[1]将那人安置在伊甸园，使他[2]耕种[3]看守。
Gen2:16 耶和华神吩咐那人说，园中各样树上的果子，你可以随意吃，
Gen2:17 只是善恶知识树上的果子，你[1]不可吃，因为你吃的日子必定[2]死。
Gen2:18 耶和华神说，那[1]人独居不好，我要为他造一个帮助者作[2]他的配偶。
Gen2:19 耶和华神把祂用土所造的野地各样走兽，和空中各样飞鸟，都带到那人面前，看他叫什么；那人怎样叫各样的活物，那就是它的名。
Gen2:20 那人便给一切的牲畜、空中的飞鸟、和野地各样的走兽都起了名，只是亚当[1]没有找到一个帮助者作他的配偶。
Gen2:21 耶和华神使那人[1]沉睡，他就睡了，于是取了他的一条[2]肋骨，又把肉在原处合起来。
Gen2:22 耶和华神就用那人身上所取的肋骨，[1]建造成一个[2]女人，[3]领她到那人跟前。
Gen2:23 那人说，这一次这是我骨中的骨，肉中的肉，可以称这为[1]女人，因为这是从[2]男人身上取出来的。
Gen2:24 因此，人要离开父母，与妻子联合，二人成为[1]一体。
Gen2:25 [1]当时那人和他妻子，二人赤身露体，彼此并不觉得羞耻。
Gen3:1 耶和华神所造的，惟有[1]蛇比田野一切的活物更狡猾。蛇对[2]女人说，[3]神岂是真说，你们不可吃园中所有树上的果子么？
Gen3:2 女人对蛇[1]说，园中树上的果子，我们可以吃，
Gen3:3 惟有园当中那棵树上的果子，神曾说，你们不可吃，也不可摸，免得你们死。
Gen3:4 蛇对女人说，你们不一定死；
Gen3:5 [1]因为神知道，你们吃的日子眼睛就开了，你们便如[2]神知道善恶。
Gen3:6 于是女人见那棵树的果子好作食物，也悦人的眼目，且是可喜爱的，能使人有智慧，就[1]摘下果子来吃了，又给与她一起的丈夫，她丈夫也吃了。
Gen3:7 [1]他们二人的眼睛就开了，才[2]知道自己是赤身露体的；他们便拿[3]无花果树的叶子，为自己编作裙子。
Gen3:8 天[1]凉的时候，耶和华神在园中行走，那人和他妻子听见神的声音，就藏在园里的树木中，躲避耶和华神的面。
Gen3:9 [1]耶和华神呼唤那人，对他说，[2]你在那里？
Gen3:10 他说，我在园中听见你的声音，我就害怕，因为我是赤身露体的；所以我藏了起来。
Gen3:11 耶和华神说，[1]谁告诉你，你是赤身露体的呢？莫非你吃了我吩咐你不可吃的那树上的果子么？
Gen3:12 那人说，你所赐给我，与我一起的女人，她把那树上的果子给我，我就吃了。
Gen3:13 耶和华神对女人说，你作的是什么事？女人说，那蛇诱骗我，我就吃了。
Gen3:14 耶和华神对蛇说，你既作了这事，就必受[1]咒诅，比一切的牲畜和田野的活物更甚。你必用[2]肚子行走，终身吃土。
Gen3:15 我又要叫你和[1]女人彼此为仇，你的[2]后裔和女人的[3]后裔也彼此为仇；女人的后裔要[4]伤你的头，你要伤他的脚跟。
Gen3:16 又对女人说，我必多多加增你[1]怀胎的苦楚，你生产儿女必受苦楚；你必恋慕你丈夫，你丈夫必[1]管辖你。
Gen3:17 又对亚当说，你既听妻子的话，吃了我所吩咐你不可吃的那树上的果子，地必因你的缘故受咒诅；你必终身[1]劳苦，才能从地里得吃的。
Gen3:18 地必给你长出荆棘和蒺藜来，你也要吃田间的菜蔬。
Gen3:19 你必汗流满面才得糊口，直到你归了土，因为你是从土取出的；你本是尘土，仍要归于尘土。
Gen3:20 亚当给他妻子起名叫[1]夏娃，因为她是众生之母。
Gen3:21 耶和华神为亚当和他妻子用[1]皮子作衣服给他们[2]穿。
Gen3:22 耶和华神说，那人已经与[1]我们相似，知道善恶；现在[2]恐怕他伸手又摘生命树的果子吃，就永远活着。
Gen3:23 耶和华神便打发他出伊甸园去，耕种他所出自之土。
Gen3:24 于是把那人赶出去了；又在伊甸园的东边，安设[1]基路伯和四面转动[1]发火焰的剑，把守生命树的道路。
Gen4:1 那人和他妻子夏娃同房，夏娃就怀孕，生了[1]该隐；便说，[2]我得了一个男子，耶和华。
Gen4:2 又生了该隐的弟弟[1]亚伯。亚伯是[2]牧羊的，该隐是[3]耕地的。
Gen4:3 有一日，该隐拿地里的出产为[1]供物献给耶和华；
Gen4:4 亚伯也将他羊群中头生的，特别是羊的脂油[1]献上。耶和华看中了亚伯和他的供物，
Gen4:5 只是[1]看不中该隐和他的供物。该隐就大大发怒，垂下脸来。
Gen4:6 耶和华对该隐说，你为什么发怒？你为什么垂下脸来？
Gen4:7 你若行得好，岂不仰起脸来么？你若行得不好，[1]罪就伏在门前；他要恋慕你，但你必须管辖他。
Gen4:8 该隐对他弟弟亚伯说，[1]我们往田间去罢。二人正在田间，该隐起来打他弟弟亚伯，把他[2]杀了。
Gen4:9 耶和华对该隐说，你弟弟亚伯在那里？他说，[1]我不知道。我岂是看守我弟弟的么？
Gen4:10 耶和华说，你作了什么事？你弟弟的[1]血有声音从地里向我哀告。
Gen4:11 地开了口，从你手里接受你弟弟的血；现在你必从这地受咒诅。
Gen4:12 你耕地，地不再给你效力；你必流离飘荡在地上。
Gen4:13 该隐对耶和华说，我的刑罚太重，过于我所能承担的。
Gen4:14 你今日赶逐我离开这地面，以致我[1]不得见你面；我必流离飘荡在地上，凡遇见我的必杀我。
Gen4:15 耶和华对他说，既是这样，凡杀该隐的，必遭报七倍。耶和华就在该隐身上作一个记号，免得人遇见就击杀他。
Gen4:16 于是该隐离开耶和华的面，去住在伊甸东边[1]挪得之地。
Gen4:17 该隐与妻子同房，他妻子就怀孕，生了[1]以诺。该隐建造了一座[2]城，并按着他儿子的名，将那城叫作以诺。
Gen4:18 以诺生以拿，以拿生米户雅利，米户雅利生玛土撒利，玛土撒利生拉麦。
Gen4:19 拉麦娶了两个妻子，一个名叫亚大，另一个名叫洗拉。
Gen4:20 亚大生雅八；雅八是居住帐棚、牧养牲畜之人的始祖。
Gen4:21 雅八的兄弟名叫犹八；他是一切弹琴吹箫之人的始祖。
Gen4:22 洗拉也生了土八该隐；他是打造各样铜铁利器的。土八该隐的妹妹是拿玛。
Gen4:23 拉麦对他的两个妻子说，亚大和洗拉，听我的声音；拉麦的妻子，听我的言语：壮年人伤我，我把他杀了；少年人打我，我把他害了。
Gen4:24 若杀该隐遭报七倍，杀拉麦必遭报七十七倍。
Gen4:25 亚当又与妻子同房；她就生了一个儿子，给他起名叫[1]塞特，说，神给我另立了一个后裔代替亚伯，因为该隐杀了他。
Gen4:26 塞特也生了一个儿子，起名叫[1]以挪士。在那时候，人开始[2]呼求耶和华的名。
Gen5:1 亚当的[1]后代记在下面。当神创造亚当的日子，乃是按着祂的[2]样式造的。
Gen5:2 神创造他们有男有女；在他们被创造的日子，神赐福给他们，称[1]他们的名为亚当。
Gen5:3 亚当[1]活到一百三十岁，[1]生了一个儿子，[2]样式和形像与自己相似，就给他起名叫塞特。
Gen5:4 亚当生塞特之后，又在世八百年，并且生儿生女。
Gen5:5 亚当共活了九百三十岁就[1]死了。
Gen5:6 塞特活到一百零五岁，生了以挪士。
Gen5:7 塞特生以挪士之后，又活了八百零七年，并且生儿生女。
Gen5:8 塞特共活了九百一十二岁就死了。
Gen5:9 以挪士活到九十岁，生了该南。
Gen5:10 以挪士生该南之后，又活了八百一十五年，并且生儿生女。
Gen5:11 以挪士共活了九百零五岁就死了。
Gen5:12 该南活到七十岁，生了玛勒列。
Gen5:13 该南生玛勒列之后，又活了八百四十年，并且生儿生女。
Gen5:14 该南共活了九百一十岁就死了。
Gen5:15 玛勒列活到六十五岁，生了雅列。
Gen5:16 玛勒列生雅列之后，又活了八百三十年，并且生儿生女。
Gen5:17 玛勒列共活了八百九十五岁就死了。
Gen5:18 雅列活到一百六十二岁，生了以诺。
Gen5:19 雅列生以诺之后，又活了八百年，并且生儿生女。
Gen5:20 雅列共活了九百六十二岁就死了。
Gen5:21 以诺活到六十五岁，生了[1]玛土撒拉。
Gen5:22 以诺生玛土撒拉之后，[1]与神同行三百年，并且生儿生女。
Gen5:23 以诺共活了三百六十五岁。
Gen5:24 以诺与神同行，神将他[1]取去，他就不在世了。
Gen5:25 玛土撒拉活到一百八十七岁，生了拉麦。
Gen5:26 玛土撒拉生拉麦之后，又活了七百八十二年，并且生儿生女。
Gen5:27 玛土撒拉共活了九百六十九岁就死了。
Gen5:28 拉麦活到一百八十二岁，生了一个儿子，
Gen5:29 给他起名叫[1]挪亚，说，这个儿子必为我们的操作和手中的劳苦[2]安慰我们；这操作与劳苦是因为地受了耶和华的咒诅。
Gen5:30 拉麦生挪亚之后，又活了五百九十五年，并且生儿生女。
Gen5:31 拉麦共活了七百七十七岁就死了。
Gen5:32 挪亚五百岁生了闪、含、雅弗。
Gen6:1 当人在地上多起来，又生女儿的时候，
Gen6:2 [1]神的儿子们看见人的女子美貌，就随意挑选，[2]娶来为妻。
Gen6:3 耶和华说，人既是[1]肉体，我的[2]灵就不永远与他相争；然而他的日子还有一百二十年。
Gen6:4 神的儿子们和人的女子交合生子，从那时起地上就有了[1]拿非利人；他们就是上古英武有名的人。
Gen6:5 耶和华见人在地上罪恶甚大，心中终日[1]所思念的尽都是恶；
Gen6:6 耶和华就后悔造人在地上，心中忧伤。
Gen6:7 耶和华说，我要将所创造的人，连人带走兽、爬物、以及空中的飞鸟，都从地上除灭，因为我后悔造了他们。
Gen6:8 [1]但挪亚在耶和华眼前[2]蒙恩。
Gen6:9 挪亚的后代记在下面。挪亚是个义人，在当时的世代是个完全人；挪亚[1]与神同行。
Gen6:10 挪亚生了三个儿子，就是闪、含、雅弗。
Gen6:11 全地在神面前败坏，地上满了强暴。
Gen6:12 神观看全地，见是败坏了；凡属肉体的人，在地上的行径都败坏了。
Gen6:13 神就对挪亚说，凡属肉体之人的结局，已经来到我面前；因为地上满了他们的强暴，我要把他们和地一并毁灭。
Gen6:14 你要用[1]歌斐木造一只[2]方舟，里面要有隔间，方舟内外要涂上[3]松香。
Gen6:15 [1]方舟的造法乃是这样：要长[2]三百[3]肘，宽[2]五十肘，高[2]三十肘。
Gen6:16 方舟顶上要造一个[1]透光处，高一肘；方舟的[2]门要开在旁边；方舟要分[3]上、中、下三层。
Gen6:17 看哪，我要使洪水泛滥在地上，毁灭天下一切有血肉、有气息的；凡在地上的无一不死。
Gen6:18 我却要与你立[1]约；你同你的儿子、妻子与儿媳，都要进入方舟。
Gen6:19 凡有血肉的活物，每样两个，有公有母，你要带进方舟，好与你一同保全生命。
Gen6:20 飞鸟各从其类，牲畜各从其类，地上的爬物各从其类，每样两个，要到你那里，好保全生命。
Gen6:21 至于你，要拿各样可吃的食物，积聚起来，好作你和它们的食物。
Gen6:22 挪亚就这样行；凡神所吩咐的，他都照样行了。
Gen7:1 耶和华对挪亚说，你和你全家都要进入方舟；因为在这世代中，我见只有你在我面前是义的。
Gen7:2 凡洁净的畜类，你要带七对公母；不洁净的畜类，你要带一对公母；
Gen7:3 空中的飞鸟，也要带七对公母；可以[1]留种，活在全地上，
Gen7:4 因为再过七天，我要降雨在地上[1]四十昼四十夜，把我所造的各种活物都从地上除灭。
Gen7:5 挪亚就遵着耶和华所吩咐的一切行了。
Gen7:6 当洪水泛滥在地上的时候，挪亚正[1]六百岁。
Gen7:7 挪亚就同他的儿子、妻子和儿媳，都进入方舟，躲避洪水。
Gen7:8 洁净的畜类和不洁净的畜类，飞鸟并地上一切的爬物，
Gen7:9 都是一对一对的，有公有母，到挪亚那里进入方舟，正如神所吩咐挪亚的。
Gen7:10 过了那七天，洪水泛滥在地上。
Gen7:11 当挪亚六百岁，二月十七日那一天，大渊的一切泉源都裂开了，天上的窗户也敞开了，
Gen7:12 四十昼四十夜降雨在地上。
Gen7:13 正当那日，挪亚和他三个儿子闪、含、雅弗，并挪亚的妻子和三个儿媳，都进入方舟。
Gen7:14 他们一家，和一切走兽，各从其类，一切牲畜，各从其类，一切爬在地上的爬物，各从其类，一切禽鸟，各从其[1]类，都进入方舟。
Gen7:15 凡有血肉、有生命气息的，都一对一对的到挪亚那里，进入方舟。
Gen7:16 凡有血肉进入方舟的，都是有公有母，正如神所吩咐挪亚的；耶和华就把他[1]关在方舟里头。
Gen7:17 洪水泛滥在地上四十天，[1]水往上涨，把方舟浮起，方舟就离地升高。
Gen7:18 水势浩大，在地上大大上涨，方舟在水面上漂来漂去。
Gen7:19 水势在地上极其浩大，普天下一切高山都淹没了。
Gen7:20 水势浩大，比山高过十五肘，山岭都淹没了。
Gen7:21 凡在地上有血肉的动物，就是飞鸟、牲畜、走兽，和[1]爬在地上的爬物，以及所有的人，都死了。
Gen7:22 凡在旱地上，鼻孔有[1]生命气息的，都死了。
Gen7:23 这样，神把地上一切的活物，连人带走兽、爬物、以及空中的飞鸟，都除灭了。这些都从地上除灭了，只留下挪亚和那些与他同在方舟里的。
Gen7:24 水势浩大，在地上共一百五十天。
Gen8:1 神记念挪亚和方舟里同挪亚一起的一切走兽牲畜；神叫风吹地，水就渐落。
Gen8:2 深渊的泉源和天上的窗户都闭塞了，天上的雨也止住了。
Gen8:3 水从地上渐退。过了一百五十天，水就渐消。
Gen8:4 七月十七日，方舟[1]停在亚拉腊山上。
Gen8:5 水又渐消，到十月初一日，山顶都现出来了。
Gen8:6 过了四十天，挪亚开了他所造方舟的窗户，
Gen8:7 放出一只[1]乌鸦；那乌鸦飞来飞去，直到地上的水都干了。
Gen8:8 他又放出一只鸽子，要看看水从地上退了没有。
Gen8:9 但遍地上都是水，鸽子找不着落脚之地，就回到方舟挪亚那里，挪亚伸手把鸽子接进方舟。
Gen8:10 他又等了七天，再把鸽子从方舟放出去。
Gen8:11 到了晚上，鸽子回到他那里，嘴里叼着一片新拧下来的[1]橄榄叶子，挪亚就知道地上的水退了。
Gen8:12 他又等了七天，再放出鸽子，鸽子就不再回来了。
Gen8:13 到挪亚六百零一岁，正月初一日，地上的水都干了。挪亚撤去方舟的盖观看，便见地面上干了。
Gen8:14 到了二月二十七日，地就都干了。
Gen8:15 神对挪亚说，
Gen8:16 你和你的妻子、儿子、儿媳都可以出方舟。
Gen8:17 在你那里凡有血肉的活物，就是飞鸟、牲畜、和一切爬在地上的爬物，都要带出来，叫它们在地上孳生，繁衍增多。
Gen8:18 于是挪亚和他的儿子、妻子、儿媳都[1]出来了。
Gen8:19 一切走兽、爬物、飞鸟、和地上所有的动物，各从其[1]类，也都出了方舟。
Gen8:20 挪亚为耶和华筑了一座[1]坛，拿各类洁净的牲畜、飞鸟，[1]献在坛上为[2]燔祭。
Gen8:21 耶和华闻了那[1]怡爽的香气，就心里说，我不再因人的缘故[2]咒诅地，（人从小时心里怀着恶念，）也不再按着我才行的，灭各种的活物了。
Gen8:22 地还存留的时候，[1]稼穑、寒暑、冬夏、昼夜，就永不停息了。
Gen9:1 神赐福给挪亚和他的儿子，对他们说，你们[1]要繁衍增多，遍满了地。
Gen9:2 地上的各样走兽和空中的各样飞鸟，以及地上一切的爬物并海里一切的鱼，都必畏惧、惊怕你们；这一切都交在你们手中了。
Gen9:3 凡活着的动物都可以作你们的[1]食物；这一切我都赐给你们，如同我将菜蔬赐给你们一样。
Gen9:4 惟独肉带着生命，就是带着血，你们不可吃。
Gen9:5 你们生命的血，我必追讨。向兽，我必追讨；向人，向各人的弟兄，我也必追讨人的命。
Gen9:6 [1]凡流人血的，他的血也必被人所流，因为神造人是按自己的[2]形像造的。
Gen9:7 你们要繁衍增多，在地上孳生繁增。
Gen9:8 神对挪亚和同他一起的儿子说，
Gen9:9 看哪，我与你们和你们的后裔立[1]约，
Gen9:10 并与你们这里的一切活物，就是飞鸟、牲畜、走兽，凡从方舟出来地上的活物立约。
Gen9:11 我与你们立约，凡有血肉的，不再被洪水灭绝，也不再有洪水毁坏地了。
Gen9:12 神说，这是我与你们，并你们这里各样活物所立之约的记号，直到万代：
Gen9:13 我把[1]虹放在云彩中，这就作我与地立约的记号。
Gen9:14 我使云彩遮地的时候，必有虹现在云彩中；
Gen9:15 我便记念我与你们，和各样有血肉的活物所立的约，水就再不泛滥，毁灭一切有血肉的物了。
Gen9:16 虹必现在云彩中，我必观看，记念我与地上各样有血肉的活物所立的永约。
Gen9:17 神对挪亚说，这就是我与地上一切有血肉之物立约的记号。
Gen9:18 出方舟挪亚的儿子是闪、含、雅弗；含是迦南的父亲。
Gen9:19 这是挪亚的三个儿子，他们的后裔散布在全地。
Gen9:20 挪亚作起农夫来，栽了一个葡萄园。
Gen9:21 他喝了园中的酒便醉了，在帐棚里[1]赤着身子。
Gen9:22 迦南的父亲含看见他父亲赤身，就到外边告诉他的两个弟兄。
Gen9:23 于是闪和雅弗拿件衣服搭在肩上，倒退着进去，遮盖他们父亲的赤身；他们背着脸，就没有看见父亲的赤身。
Gen9:24 挪亚醒了酒，知道小儿子向他所作的事，
Gen9:25 就说，迦南[1]当受咒诅，必给他弟兄作奴仆的奴仆。
Gen9:26 又说，耶和华[1]闪的神，是当受颂赞的；愿迦南作闪的奴仆。
Gen9:27 愿神使雅弗扩张，使他住在[1]闪的帐棚里；又愿迦南作他的奴仆。
Gen9:28 洪水以后，挪亚又活了三百五十年。
Gen9:29 挪亚共活了九百五十岁就死了。
Gen10:1 挪亚的儿子闪、含、雅弗的后代记在下面。洪水以后，他们都生了儿子。
Gen10:2 雅弗的儿子是歌篾、玛各、玛代、雅完、土巴、米设、提拉。
Gen10:3 歌篾的儿子是亚实基拿、利法、陀迦玛。
Gen10:4 雅完的子孙是以利沙、他施、基提人、[1]罗单人。
Gen10:5 这些人的后裔，在列国的岛屿和沿海一带分地居住，各按各的方言、家族、邦国。
Gen10:6 含的儿子是古实、[1]麦西、弗、迦南。
Gen10:7 古实的儿子是西巴、哈腓拉、撒弗他、拉玛、撒弗提迦。拉玛的儿子是示巴、底但。
Gen10:8 古实又生[1]宁录，他是地上最早的勇士。
Gen10:9 他在耶和华面前是个英勇的猎户，所以有话说，像宁录在耶和华面前是个英勇的猎户。
Gen10:10 他国的起头是巴别、以力、亚甲、甲尼，都在示拿地。
Gen10:11 他从那地出来往亚述去，建造尼尼微、利河伯、迦拉，
Gen10:12 和尼尼微、迦拉中间的利鲜，就是那大城。
Gen10:13 麦西生路低人、亚拿米人、利哈比人、拿弗土希人、
Gen10:14 帕斯鲁细人、迦斯路希人、迦斐托人；从迦斯路希人出来的有非利士人。
Gen10:15 迦南生长子西顿，又生赫、
Gen10:16 和耶布斯人、亚摩利人、革迦撒人、
Gen10:17 希未人、亚基人、西尼人、
Gen10:18 亚瓦底人、洗玛利人、哈马人，后来迦南的诸族散布出去了。
Gen10:19 迦南的境界是从西顿向基拉耳的路上，直到迦萨，又向所多玛、蛾摩拉、押玛、洗扁的路上，直到拉沙。
Gen10:20 这些就是含的子孙，各按他们的家族、方言、地土、邦国。
Gen10:21 雅弗的哥哥闪，是希伯所有子孙之祖，他也生了儿子。
Gen10:22 闪的儿子是以拦、亚述、亚法撒、路德、亚兰。
Gen10:23 亚兰的儿子是乌斯、户勒、基帖、玛施。
Gen10:24 亚法撒生沙拉；沙拉生希伯。
Gen10:25 希伯生了两个儿子，一个名叫[1]法勒，因为那时人才分地居住，法勒的兄弟名叫约坍。
Gen10:26 约坍生亚摩答、沙列、哈萨玛非、耶拉、
Gen10:27 哈多兰、乌萨、德拉、
Gen10:28 俄巴路、亚比玛利、示巴、
Gen10:29 阿斐、哈腓拉、约巴，这些都是约坍的儿子。
Gen10:30 他们所住的地方是从米沙直到西发，东边的山地。
Gen10:31 这些就是闪的子孙，各按他们的家族、方言、地土、邦国。
Gen10:32 这些都是挪亚三个儿子的家族，各按他们的族系、邦国。洪水以后他们在地上分为邦国。
Gen11:1 那时，全地的人只有一种语言，都说同样的话语。
Gen11:2 他们往东边迁移的时候，在[1]示拿地遇见一片平原，就住在那里。
Gen11:3 他们彼此商量说，来罢，我们作[1]砖，把砖烧透。他们就拿砖当石头，又拿石漆当灰泥。
Gen11:4 他们说，来罢，我们建造一座[1]城和一座[2]塔，塔顶通天；我们要宣扬我们的[2]名，免得我们分散在全地上。
Gen11:5 耶和华降临，要看看[1]世人所建造的城和塔。
Gen11:6 耶和华说，看哪，他们是一样的人民，都说一样的语言；这不过是他们开头要作的事，以后他们所图谋要作的，就没有能阻挡的了。
Gen11:7 来罢，[1]我们下去，在那里[2]变乱他们的语言，使他们的言语彼此不通。
Gen11:8 于是耶和华使他们从那里分散在全地上；他们就停工，不造那城了。
Gen11:9 因为耶和华在那里变乱全地人的语言，使众人分散在全地上，所以那城名叫[1]巴别。
Gen11:10 闪的后代记在下面：洪水以后二年，闪一百岁生了亚法撒。
Gen11:11 闪生亚法撒之后，又活了五百年，并且生儿生女。
Gen11:12 亚法撒活到三十五岁，生了沙拉。
Gen11:13 亚法撒生沙拉之后，又活了四百零三年，并且生儿生女。
Gen11:14 沙拉活到三十岁，生了希伯。
Gen11:15 沙拉生希伯之后，又活了四百零三年，并且生儿生女。
Gen11:16 希伯活到三十四岁，生了法勒。
Gen11:17 希伯生法勒之后，又活了四百三十年，并且生儿生女。
Gen11:18 法勒活到三十岁，生了拉吴。
Gen11:19 法勒生拉吴之后，又活了二百零九年，并且生儿生女。
Gen11:20 拉吴活到三十二岁，生了西鹿。
Gen11:21 拉吴生西鹿之后，又活了二百零七年，并且生儿生女。
Gen11:22 西鹿活到三十岁，生了拿鹤。
Gen11:23 西鹿生拿鹤之后，又活了二百年，并且生儿生女。
Gen11:24 拿鹤活到二十九岁，生了他拉。
Gen11:25 拿鹤生他拉之后，又活了一百一十九年，并且生儿生女。
Gen11:26 他拉活到七十岁，生了亚伯兰、拿鹤、哈兰。
Gen11:27 他拉的后代记在下面：他拉生亚伯兰、拿鹤、哈兰；哈兰生罗得。
Gen11:28 哈兰死在他的出生地[1]迦勒底的[2]吾珥，在他父亲他拉之先。
Gen11:29 亚伯兰、拿鹤各娶了妻子：亚伯兰的妻子名叫[1]撒莱；拿鹤的妻子名叫密迦，是哈兰的女儿；哈兰是密迦和亦迦的父亲。
Gen11:30 撒莱不能生育，没有孩子。
Gen11:31 [1]他拉带着他儿子亚伯兰和他孙子哈兰的儿子罗得，并他儿媳亚伯兰的妻子撒莱，一起出了迦勒底的吾珥，要往迦南地去；他们走到[2]哈兰，就住在那里。
Gen11:32 他拉共活了二百零五岁，就死在哈兰。
Gen12:1 [1]耶和华对亚伯兰[2]说，你要离开本地、亲族、[3]父家，往我所要指示你的地去。
Gen12:2 [1]我必使你成为[2]大国；我必赐福给你，使你的名为大；你也要使别人得福。
Gen12:3 那为你祝福的，我必赐福与他；那[1]咒诅你的，我必咒诅他。地上的[2]万族都必因你[3]得福。
Gen12:4 亚伯兰就照着耶和华的吩咐去了；罗得也和他同去。亚伯兰出哈兰的时候，年七十五岁。
Gen12:5 亚伯兰将他妻子撒莱和侄儿罗得，连他们在哈兰所积聚的家产、所得的人口，都带[1]出来，往迦南地去。他们就[2]到了[3]迦南地。
Gen12:6 亚伯兰经过那地，到了示剑地方、摩利橡树那里。当时迦南人住在那地。
Gen12:7 耶和华[1]向亚伯兰显现，说，我要把这[2]地赐给你的[2]后裔。<br class="split">亚伯兰就在那里为向他显现的耶和华筑了一座[3]坛。
Gen12:8 从那里他又迁到[1]伯特利东边的山，支搭[2]帐棚；西边是伯特利，东边是艾；他在那里又为耶和华筑了一座坛，并且[3]呼求耶和华的名。
Gen12:9 后来亚伯兰又往前行，渐渐迁到[1]南地去。
Gen12:10 那地遭遇[1]饥荒；因饥荒甚重，亚伯兰就下埃及去，要在那里寄居。
Gen12:11 他将近埃及，就对妻子撒莱说，我知道你是容貌美丽的妇人。
Gen12:12 埃及人看见你，必说，这是他的妻子，他们就会杀我，却叫你活着。
Gen12:13 求你说，你是我的妹妹，使我因你得善待，[1]我的命也因你存活。
Gen12:14 及至亚伯兰到了埃及，埃及人看见那妇人极其美丽。
